pl_name,pl_bmasse,pl_rade,pl_orbper,pl_orbsmax,st_mass,st_rad,st_teff,st_met
Kepler-1069 b,3.19,1.6,23.8990296,0.16587,0.99,0.98,5722.0,0.04
Kepler-1034 b,5.73,2.26,12.12400943,0.0965,0.83,0.8,5198.0,-0.06
Kepler-944 b,7.41,2.63,43.3167737,0.2288,0.86,0.83,5409.0,-0.11
Kepler-942 b,5.18,2.13,44.96417488,0.22737,0.81,0.75,4861.0,0.09
Kepler-946 b,4.38,1.93,11.79162572,0.1002,0.94,0.93,5665.0,-0.09
Kepler-992 b,3.26,1.62,20.16034462,0.13372,0.8,0.74,4944.0,-0.04
Kepler-1134 b,7.46,2.64,17.13263989,0.1242,0.84,0.81,5281.0,-0.1
Kepler-1135 b,4.08,1.85,76.957857,0.3436,0.96,0.94,5656.0,0.02
Kepler-951 b,26.7,5.59,71.52530845,0.3091,0.77,0.73,4834.0,-0.01
Kepler-967 b,6.12,2.35,13.22713379,0.1027,0.84,0.8,5178.0,-0.03
Kepler-1013 b,5.27,2.15,18.93054959,0.137,0.81,0.76,4954.0,0.04
Kepler-1233 b,7.27,2.6,45.1263042,0.263,1.16,1.25,6198.0,0.02
Kepler-1234 b,8.3,2.81,11.94014029,0.096,0.8,0.76,4967.0,0.01
Kepler-523 b,4.5,1.96,5.835983111,0.06159,0.93,0.86,5515.0,-0.03
Gl 725 B c,3.4,1.66,37.9,0.139,0.25,0.28,3379.0,-0.28
Kepler-1180 b,4.62,1.99,16.8601286,0.1246,1.09,1.14,6077.0,0.0
Kepler-1181 b,3.09,1.57,4.89337519,0.0621,1.17,1.3,6176.0,0.03
Kepler-1189 b,3.78,1.77,3.78858982,0.0467,1.11,1.16,6012.0,0.08
Kepler-1236 b,5.22,2.14,31.0571618,0.1803,0.86,0.82,5337.0,-0.09
Kepler-1235 b,0.418,0.79,4.16055856,0.04836,0.93,0.9,5541.0,0.01
Kepler-518 b,5.1,2.11,8.512035877,0.07996,0.96,0.88,5842.0,-0.23
Kepler-1276 b,1.81,1.19,12.5720095,0.10863,1.14,1.21,6188.0,-0.02
Kepler-1277 b,3.19,1.6,40.8365012,0.21857,0.94,0.92,5578.0,-0.01
Kepler-1182 b,6.39,2.41,11.17394617,0.0981,1.04,1.05,5924.0,0.01
Kepler-549 b,11.0,2.57,42.9495649,0.23236,0.88,0.84,5360.0,-0.03
